"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",14.0850244837049,-1.07785442916146,0.661405841578209,-1.6296415323299,0.103177281137633,0.24697335450953
"A1BG-AS1",64.8149026605725,-1.41635092414915,0.740569932006014,-1.91251475780636,0.0558102015565733,0.163171611810134
"A2M",9809.49773175921,-3.22234099587661,0.629817711730867,-5.11630736300026,3.11575184226945e-07,8.79640270110225e-06
"A2M-AS1",29.9066521365887,-3.67105396598956,0.583357758864921,-6.29297186881097,3.11444798486963e-10,1.88677151983383e-08
"A2ML1",7759.54865632422,6.41418639543719,1.38932391028494,4.61676816180448,3.89762277931659e-06,7.73117140516693e-05
"A2MP1",7.32303956143553,-1.47567962845249,0.937658318064402,-1.57379249991481,0.115535428548072,0.265963800407646
"A3GALT2",7.78227115214972,4.50210119037836,1.39689686429335,3.22293027170323,0.00126886437550317,0.00954652190821645
"A4GALT",3339.53495321382,-0.164534270470486,0.665504527608585,-0.247232383319346,0.804728384771724,0.888476600378805
"A4GNT",3.29112536508506,1.50508367248993,1.1569200649103,1.30094007195444,0.193278968401757,0.372529934523411
"AAAS",2528.82166821518,0.426810000313371,0.233664615179147,1.82659235753836,0.0677610833208695,0.185783947000525
"AACS",3107.96005989721,1.18808792754572,0.3230034423956,3.67825159612571,0.000234838250389428,0.00243800838381799
"AACSP1",17.5683119448223,4.00929988924676,1.44989943915194,2.76522618119766,0.00568833390599857,0.030860272696368
"AADAC",46.0294854260088,4.24404836958554,1.53910967501903,2.75746974921268,0.00582506028209103,0.0314611678943026
"AADACL2",14.4442792709771,-0.162947153153836,1.96171050593687,-0.0830638122499203,NA,NA
"AADACL4",0.512877556135616,-3.8591604108073,1.82138280139563,-2.11880797811983,NA,NA
"AADACP1",54.4404623300417,1.44146402503087,1.3899562351636,1.03705713069534,0.299709232545392,0.493781573551696
"AADAT",263.835932597818,-0.460261999355815,0.99119685739249,-0.464349736304261,0.642397195520651,0.783485089789847
"AAGAB",3470.64133162999,0.852830298101095,0.269265541274755,3.16724633261141,0.0015388990271687,0.0111428398433861
"AAK1",2265.96635224209,0.0753828860849183,0.327682943679682,0.230048244923626,0.818054280860147,0.896078669270811
"AAMDC",799.921437510877,-1.02412893697847,0.520432578121151,-1.96784171482067,0.0490862528070255,0.149307441984884
"AAMP",6424.18118406071,-0.154018567731743,0.286904676878517,-0.536828361975285,0.591386178656025,0.747107424152339
"AANAT",24.6937402490152,2.603639577749,0.887864183062645,2.93247506478735,0.00336271924729725,0.0205905481137411
"AAR2",2706.87222678614,-0.449766573486139,0.231319771112646,-1.94434989850961,0.0518532712045594,0.155079838872507
"AARD",13.4893942316211,-1.34690079890971,1.63924468769001,-0.821659395344903,0.411270774897456,0.602546496535828
"AARS1",9727.19496126543,0.365667669391951,0.297499802590394,1.22913583877369,0.219020880031047,0.403990369199037
"AARS2",1479.74169201551,0.739820190586385,0.273736413785096,2.70267364270798,0.00687842460640764,0.0356474263285917
"AARSD1",271.367702778254,0.155867265518491,0.266884591287345,0.584024970368837,0.559203512301702,0.722519008156529
"AASDH",592.795113811145,-0.139416934907927,0.290321491579357,-0.480215688302976,0.631074032557054,0.775191056444489
"AASDHPPT",1680.99653598704,-0.0830545973156673,0.396614818791648,-0.209408709358633,0.834129194401576,0.906075563840247
"AASS",289.795405675333,-1.06981227383769,0.8171136028983,-1.30925769690171,0.190447074031251,0.369126872342515
"AATBC",306.907481740723,3.69879112639704,0.840541680162352,4.40048508443105,1.08009152132002e-05,0.000184970443748321
"AATF",4165.69515696738,0.288502384776135,0.270565971574903,1.06629219889267,0.286291574875346,0.479665401348247
"AATK",282.194848548551,0.73409204652753,0.952169723846425,0.770967641737296,0.440726111630993,0.627477596384045
"ABALON",35.0419721411863,0.554203762714552,0.808170482297299,0.685751057300653,0.492870104160292,0.670385413671226
"ABAT",648.462740816382,0.773159395578554,0.706901882809448,1.093729433151,0.274073661420325,0.466624813330781
"ABCA1",2152.06775710894,1.03200389757635,0.607181628710383,1.6996625865777,0.0891944105638662,0.224134485377347
"ABCA10",85.9703189216667,-2.82183868283843,0.739871108838279,-3.8139598223658,0.000136757710935641,0.00154618097834273
"ABCA11P",60.4742103069484,-1.0739966042454,0.469088412038399,-2.28953983232799,0.0220480063155824,0.0842046198648306
"ABCA12",1027.33833004014,7.28720424502473,1.0060332095518,7.24350267549446,4.37242613862988e-13,4.32468638385097e-11
"ABCA13",1253.35696163598,4.77242890532787,1.39692619458788,3.41637870620345,0.000634599271509842,0.00546123474881169
"ABCA17P",362.207733840407,3.41408679575865,1.05311389500023,3.24189701794591,0.0011873692013084,0.00907901893369625
"ABCA2",2703.80958574347,0.62690151286577,0.544386909952994,1.15157345153634,0.249496396034712,0.440023392788295
"ABCA3",1668.9513561463,0.32017528805662,0.928394117834569,0.344870009305329,0.730192098079453,0.84303419648252
"ABCA4",131.571932052822,1.89842010315644,1.23410117812587,1.53830183197735,0.123974832028277,0.279326769504526
"ABCA5",1447.8143779427,0.678403977319307,0.494594314847169,1.37163723268622,0.170176397060843,0.343141756185613
"ABCA6",73.3172875731391,-3.30104616518804,0.752610381257003,-4.3861289285894,1.15385744367249e-05,0.000195987269886404
"ABCA7",2549.26520477455,3.08455470462167,0.525246063473468,5.87258985669197,4.2903901612327e-09,1.96472843304702e-07
"ABCA8",83.4214876305774,-5.58563652037603,1.07552157442614,-5.19342117647089,2.06464378827373e-07,6.21509075768239e-06
"ABCA9",67.25662143414,-4.35869817944486,0.858548505874711,-5.07682227575961,3.83799555509277e-07,1.0508952236021e-05
"ABCA9-AS1",4.03076851346942,1.54651189116968,2.40041682780709,0.644268059303058,0.519401624026547,0.691687114172374
